chut,hymenofor,jedla,jmeno,klobouk_barva,klobouk_povrch,klobouk_tvar,konzistence,latin,pochva,prsten,tren_barva,tren_povrch,tren_tvar,vune,vyskyt_doba,vyskyt_misto
"['příjemná, nevýrazná']",['jiné'],['jedlá'],Pýchavka hruškovitá ,['bílá'],['-'],['-'],['měkká'],(Lycoperdon pyriforme),['nemá'],['nemá'],['-'],['-'],"['dolů ztenčující, kyjovitý']",['houbová'],"['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, parky, mýtiny']"
"['příjemná, nevýrazná']",['-'],['jedlá'],Pýchavka dlabaná ,['bílá'],['hladký'],['kulovitý'],['křehká'],(Lycoperdon utriforme),['nemá'],['nemá'],['-'],['-'],['-'],"['příjemná, houbová']","['květen, červen, červenec, srpen, září, říjen']","['louky, pastviny, parky, stráně, paseky']"
['nevýrazná'],['jiné'],['jedlá'],Prášivka černající ,['bílá'],['hladký'],['kulovitý'],['měkká'],(Bovista nigrescens),['nemá'],['nemá'],['-'],['-'],['-'],['houbová'],"['červen, červenec, srpen, září, říjen']","['louky, pole, pastviny, parky, zahrady, stráně, paseky']"
['příjemná'],['jiné'],['jedlá'],Pýchavka obecná ,['bílá'],['-'],['kulovitý'],['měkká'],(Lycoperdon perlatum),['nemá'],['nemá'],['-'],['bradavčitý'],['kyjovitý'],"['příjemná, houbová']","['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les, louky, pole, pastviny, parky, zahrady, křoviny, mýtiny, paseky, jiné']"
['pálivá'],['lupeny'],['nejedlá'],Ryzec peprný ,['bílá'],['hladký'],"['nálevkovitý, vmáčklý, klenutý']",['tvrdá'],(Lactarius piperatus),['nemá'],['nemá'],['bílá'],"['hladký, lysý']","['válcovitý, dolů ztenčující']","['příjemná, houbová']","['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
['pálivá'],['lupeny'],['nejedlá'],Ryzec kravský ,"['hnědá, červená']",['plstnatý'],"['plochý, nálevkovitý, vmáčklý, klenutý']",['křehká'],(Lactarius torminosus),['nemá'],['nemá'],['růžová'],['hladký'],['válcovitý'],['nevýrazná'],"['červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, parky, jiné']"
"['příjemná, nevýrazná']",['jiné'],['jedlá'],Pýchavka obrovská ,['bílá'],['hladký'],['kulovitý'],['měkká'],(Langermannia gigante),['nemá'],['nemá'],['-'],['-'],['-'],"['příjemná, houbová']","['červen, červenec, srpen, září, říjen']","['louky, pastviny, parky, zahrady']"
"['kořenitá, pálivá']",['lupeny'],['jedlá'],Ryzec pravý ,"['zelená, červená, oranžová']",['hladký'],"['plochý, nálevkovitý, vmáčklý, klenutý']",['křehká'],(Lactarius deliciosus),['nemá'],['nemá'],"['zelená, červená, oranžová']",['hladký'],['válcovitý'],['příjemná'],"['srpen, září, říjen, listopad']","['jehličnatý les, smíšený les, louky, paseky']"
"['kořenitá, pálivá']",['lupeny'],['jedlá'],Ryzec smrkový ,"['zelená, červená, oranžová']",['hladký'],"['plochý, vmáčklý, klenutý']",['křehká'],(Lactarius deterrimus),['nemá'],['nemá'],"['žlutá, červená, oranžová']",['hladký'],['válcovitý'],"['příjemná, houbová']","['srpen, září, říjen, listopad']","['jehličnatý les, louky, pastviny']"
"['nepříjemná, pálivá']",['lupeny'],['jedovatá'],Ryzec šeredný ,"['hnědá, zelená, olivová']","['plstnatý, lysý']","['plochý, vmáčklý, klenutý']",['tvrdá'],(Lactarius turpis),['nemá'],['nemá'],"['zelená, olivová']",['hladký'],['válcovitý'],['nevýrazná'],"['červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les']"
